"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","bezirk","id"
"Albrecht-Dürer-Oberschule","","","Berlin","Berlin","Programm","","Neukölln","1305"
"Albert-Schweitzer-Gymnasium","","","Berlin","Berlin","Programm","","Neukölln","1305"
"Alexander S. Puschkin Gymnasium","","","Berlin","Berlin","Programm","","Hennigsdorf","1305"
"Andreas Gymnasium","","","Berlin","Berlin","Programm","","Friedrichshain-Kreuzberg","1305"
"Arndt-Gymnasium Dahlem","","","Berlin","Berlin","Programm","","Dahlem","1305"
"Barnim Gymnasium","","","Berlin","Berlin","Programm","","Falkenberg","1305"
"Carl-von-Ossietzky-Schule","","","Berlin","Berlin","Programm","","Pankow","1305"
"Christliches Jugenddorfwerk Deutschlands e.V.","","","Berlin","Berlin","Programm","","","1305"
"Droste-Hülshoff-Gymnasium","","","Berlin","Berlin","Programm","","Zehlendorf","1305"
"Eckener-Gymnasium","","","Berlin","Berlin","Programm","","Tempelhof","1305"
"Evangelische Schule Berlin Zentrum","","","Berlin","Berlin","Programm","","Mitte","1305"
"Evangelische Schule Frohnau","","","Berlin","Berlin","Programm","","Reinickendorf","1305"
"Ferdinand-Freiligrath-Schule","","","Berlin","Berlin","Programm","","Kreuzberg","1305"
"Fichtenberg-Gymnasium","","","Berlin","Berlin","Programm","","Steglitz","1305"
"Friedrich-Engels-Gymnasium","","","Berlin","Berlin","Programm","","Reinickendorf","1305"
"Gabriele von Bülow –Oberschule","","","Berlin","Berlin","Programm","","Tegel","1305"
"Gebrüder-Montgolfier-Gymnasium","","","Berlin","Berlin","Programm","","Treptow-Köpenick","1305"
"Georg-Büchner-Gymnasium","","","Berlin","Berlin","Programm","","Tempelhof","1305"
"Georg-Herwegh-Gymnasiums","","","Berlin","Berlin","Programm","","Hermsdorf","1305"
"Goethe-Oberschule","","","Berlin","Berlin","Programm","","Lichterfelde","1305"
"Gottfried-Keller-Gymnasium","","","Berlin","Berlin","Programm","","Charlottenburg-Wilmersdorf","1305"
"Gustav-Heinemann-Oberschule","","","Berlin","Berlin","Programm","","Marienfelde","1305"
"Gymnasium-Steglitz","","","Berlin","Berlin","Programm","","Steglitz-Zehlendorf","1305"
"Heinrich-Hertz-Oberschule","","","Berlin","Berlin","Programm","","Friedrichshain","1305"
"Heinrich von Stephan Gemeinschaftsschule","","","Berlin","Berlin","Programm","","Moabit","1305"
"Hermann-Ehlers-Schule","","","Berlin","Berlin","Programm","","Steglitz","1305"
"Hermann-Hesse-Gymnasium","","","Berlin","Berlin","Programm","","Kreuzberg","1305"
"Humboldt-Gymnasium","","","Berlin","Berlin","Programm","","Tegel","1305"
"Janusz-Korczak-Grundschule","","","Berlin","Berlin","Programm","","Pankow","1305"
"John Lennon Gymnasium","","","Berlin","Berlin","Programm","","Mitte","1305"
"Landesschülerausschuss Berlin","","","Berlin","Berlin","Programm","","","1305"
"Leibniz-Schule","","","Berlin","Berlin","Programm","","Kreuzberg","1305"
"Max-Beckmann-Oberschule","","","Berlin","Berlin","Programm","","Reinickendorf","1305"
"Nikolaus-August-Otto Montessori-Gemeinschaftsschule","","","Berlin","Berlin","Programm","","Steglitz-Zehlendorf","1305"
"Primo-Levi-Gymnasium","","","Berlin","Berlin","Programm","","Weißensee","1305"
"Quinoa Schule","","","Berlin","Berlin","Programm","","Wedding","1305"
"Robert Blum Gymnasium","","","Berlin","Berlin","Programm","","Schöneberg","1305"
"Robert Koch Gymnasium","","","Berlin","Berlin","Programm","","Kreuzberg","1305"
"Romain-Rolland-Gymnasium","","","Berlin","Berlin","Programm","","Reinickendorf","1305"
"Rosa-Luxemburg-Gymnasium","","","Berlin","Berlin","Programm","","Pankow","1305"
"Schadow-Gymnasium","","","Berlin","Berlin","Programm","","Steglitz-Zehlendorf","1305"
"Schiller-Gymnasium","","","Berlin","Berlin","Programm","","Charlottenburg-Wilmersdorf","1305"
"Sophie-Charlotte-Oberschule","","","Berlin","Berlin","Programm","","Charlottenburg-Wilmersdorf","1305"
"Sophie-Scholl-Oberschule","","","Berlin","Berlin","Programm","","Schöneberg","1305"
"Werner-von-Siemens-Gymnasium","","","Berlin","Berlin","Programm","","Schöneberg","1305"
"Zinnowwald Grundschule","","","Berlin","Berlin","Programm","","Zehlendorf","1305"