address,fax,full_time_school,id,lat,lon,name,official_id,phone,school_type,school_type_entity,state
"Bei der Hammer Kirche 10, 20535 Hamburg",+49 40 87 88 902-29,false,HH-3201,53.556728,10.054931,Katholische Schule Hammer Kirche,3201,+49 40 87 88 902-10,Grundschule,Grundschule,HH
"Schmilinskystraße 70, 20099 Hamburg",+49 40 87 88 901-29,true,HH-3202,53.557881,10.014614,Domschule St. Marien (Stadtteilschule),3202,+49 40 87 88 901-10,Stadtteilschule,Stadtteilschule,HH
"Öjendorfer Weg 14, 22111 Hamburg",+49 40 87 88 904-29,true,HH-3203,53.540571,10.107749,Katholische Schule St. Paulus,3203,+49 40 87 88 904-10,Stadtteilschule,Stadtteilschule,HH
"Dohrnweg 6, 22767 Hamburg",+49 40 70 70 783-29,true,HH-3204,53.559409,9.956165,Katholische Schule Altona,3204,+49 40 70 70 783-10,Stadtteilschule,Stadtteilschule,HH
"Eulenstraße 68, 22763 Hamburg",+49 40 70 70 782-29,true,HH-3205,53.551142,9.924064,Katholische Schule St. Marien - Eulenstraße,3205,+49 40 70 70 782-10,Grundschule,Grundschule,HH
"Mörikestraße 16, 22587 Hamburg",+49 40 70 70 781-29,false,HH-3206,53.561828,9.822509,Katholische Schule Blankenese,3206,+49 40 70 70 781-10,Grundschule,Grundschule,HH
"Am Weiher 29, 20255 Hamburg",+49 40 70 70 784-29,true,HH-3207,53.577956,9.957578,Katholische Schule Am Weiher - St. Bonifatius,3207,+49 40 70 70 784-10,Grundschule,Grundschule,HH
"Hochallee 9, 20149 Hamburg",+49 40 87 87 915-29,true,HH-3208,53.573465,9.985793,Katholische Schule Hochallee,3208,+49 40 87 87 915-10,Grundschule,Grundschule,HH
"Elsastraße 46, 22083 Hamburg",+49 40 87 87 918-29,true,HH-3209,53.579224,10.034378,Katholische Sophienschule,3209,+49 40 87 87 918-10,Grundschule,Grundschule,HH
"Lämmersieth 38, 22305 Hamburg",+49 40 80 79 25589,true,HH-3210,53.585269,10.054826,Franz-von-Assisi-Schule,3210,+49 40 80 79 25560,Stadtteilschule,Stadtteilschule,HH
"Alsterdorfer Straße 71, 22299 Hamburg",+49 40 87 87 916-29,false,HH-3211,53.59872,9.996569,Katholische Schule St. Antonius,3211,+49 40 87 87 916-10,Grundschule,Grundschule,HH
"Eberhofweg 75, 22415 Hamburg",+49 40 87 87 917-29,true,HH-3212,53.651919,10.014873,Katharina-von-Siena-Schule,3212,+49 40 87 87 917-10,Grundschule,Grundschule,HH
"Rahlstedter Weg 15, 22159 Hamburg",+49 40 53 30 43-29,false,HH-3213,53.606716,10.12183,Katholische Schule Farmsen,3213,+49 40 53 30 43-10,Grundschule,Grundschule,HH
"Böhmestraße 3, 22041 Hamburg",+49 40 87 88 903-29,true,HH-3214,53.573872,10.076326,Katholische Schule St. Joseph - Wandsbek,3214,+49 40 87 88 903-10,Grundschule,Grundschule,HH
"Chrysanderstraße 40, 21029 Hamburg",+49 40 88 14 107-29,true,HH-3215,53.49182,10.215631,Katholische Schule Bergedorf,3215,+49 40 88 14 107-10,Grundschule,Grundschule,HH
"Reeseberg 8, 21073 Hamburg",+49 40 881 41 08-29,true,HH-3216,53.449812,9.988358,Katholische Schule Harburg,3216,+49 40 881 41 08-10,Stadtteilschule,Stadtteilschule,HH
"Bonifatiusstraße 2, 21107 Hamburg",+49 40 730 87 77-29,true,HH-3217,53.504744,9.98662,Katholische Bonifatiusschule,3217,+49 40 730 87 77-10,Stadtteilschule,Stadtteilschule,HH
"Alsterdorfer Straße 506, 22337 Hamburg",+49 40 5 07 73-198,true,HH-3218,53.616453,10.027866,"Bugenhagen-Schule Alsterdorf, Schule für Kinder mit besonderem Förderbedarf",3218,+49 40 5 07 73-520,Sonderschule,Sonderschule,HH
"Bürgerweide 33, 20535 Hamburg",+49 40 2 51 734-30,true,HH-3219,53.557509,10.031605,Sankt-Ansgar-Schule,3219,+49 40 2 51 734-0,Gymnasium,Gymnasium,HH
"Warburgstraße 39, 20354 Hamburg",+49 40 450 229-29,true,HH-3220,53.561991,9.995477,Sophie-Barat-Schule,3220,+49 40 450 229-10,Gymnasium,Gymnasium,HH
"Cuxhavener Straße 379, 21149 Hamburg",+49 40 702 92 39-29,true,HH-3222,53.472025,9.8446,Katholische Schule Neugraben,3222,+49 40 702 92 39-10,Stadtteilschule,Stadtteilschule,HH
"Alsterdorfer Straße 506, 22337 Hamburg",+49 40 5 07 73-198,true,HH-3223,53.616453,10.027866,Bugenhagen-Schule Alsterdorf (Stadtteilschule),3223,5 07 73 - 520,Stadtteilschule,Stadtteilschule,HH
"Barlachstraße 16, 21073 Hamburg",+49 40 87 88 907-29,true,HH-3224,53.45789,9.971421,Niels-Stensen-Gymnasium,3224,+49 40 87 88 907-10,Gymnasium,Gymnasium,HH
"Oesterleystraße 22, 22587 Hamburg",,true,HH-3225,53.562148,9.807543,Bugenhagen-Schule im Hessepark (Grundschule),3225,+49 40 866 235-34,Grundschule,Grundschule,HH
"Alsterdorfer Straße 506, 22337 Hamburg",+49 40 5 07 73-198,true,HH-3229,53.616453,10.027866,Bugenhagen-Schule Alsterdorf (Grundschule),3229,+49 40 5 07 73-328,Grundschule,Grundschule,HH
"Schmilinskystraße 70, 20099 Hamburg",,true,HH-3230,53.557881,10.014614,Domschule St. Marien (Grundschule),3230,+49 40 28 01 71-4,Grundschule,Grundschule,HH
"Bei der Flottbeker Mühle 28, 22607 Hamburg",+49 40 81 99 44-85,true,HH-3231,53.573012,9.869074,Bugenhagen-Schule Groß Flottbek,3231,+49 40 81 99 42-89,Grundschule,Grundschule,HH
"Quellenweg 10, 20535 Hamburg",+49 40 21 11 14-03,true,HH-3232,53.561475,10.059502,"Bugenhagen-Schule Hamm, Evangelische Grundschule Paulus",3232,+49 40 21 11 10-92,Grundschule,Grundschule,HH
"Oesterleystraße 22, 22587 Hamburg",,true,HH-3233,53.562148,9.807543,Bugenhagen-Schule im Hessepark (Stadtteilschule),3233,+49 40 86 62 35-34,Stadtteilschule,Stadtteilschule,HH
"Langenfort 68, 22307 Hamburg",+49 40 428 88 15 22,true,HH-5043,53.599413,10.048417,Stadtteilschule Helmuth Hübener,5043,+49 40 428 88 15 0,Stadtteilschule,Stadtteilschule,HH
"Barenkrug 16, 22159 Hamburg",+49 40 428 93 25-22,true,HH-5046,53.59469,10.124487,Gyula Trebitsch Schule Tonndorf,5046,+49 40 428 93 25-0,Stadtteilschule,Stadtteilschule,HH
"Volksdorfer Damm 218, 22395 Hamburg",+49 40 428 93 82-22,true,HH-5048,53.671707,10.137188,Stadtteilschule Bergstedt,5048,+49 40 428 93 82-0,Stadtteilschule,Stadtteilschule,HH
"Tangstedter Landstraße 300, 22417 Hamburg",+49 40 428 89 21 20,true,HH-5049,53.670945,10.028731,Stadtteilschule Am Heidberg,5049,+49 40 428 89 21 01,Stadtteilschule,Stadtteilschule,HH
"Humboldtstraße 89, 22083 Hamburg",+49 40 428 86 91 22,true,HH-5052,53.576682,10.022011,Ilse-Löwenstein-Schule,5052,+49 40 428 86 91 0,Stadtteilschule,Stadtteilschule,HH
"Schluchtweg 1, 22337 Hamburg",+49 40 428 93 05-22,false,HH-5053,53.632579,10.047345,Albert-Schweitzer-Schule,5053,+49 40 428 93 05-0,Stadtteilschule,Stadtteilschule,HH
"Oktaviostraße 143, 22043 Hamburg",+49 40 428 86 41-22,true,HH-5054,53.567124,10.1038,Max-Schmeling-Stadtteilschule,5054,+49 40 428 86 41-20,Stadtteilschule,Stadtteilschule,HH
"Alter Teichweg 200, 22049 Hamburg",+49 40 428 97 72 11,true,HH-5056,53.587514,10.069987,Stadtteilschule Alter Teichweg,5056,+49 40 428 97 70,Stadtteilschule,Stadtteilschule,HH
"Mümmelmannsberg 75, 22115 Hamburg",+49 40 428 979-22,true,HH-5057,53.52989,10.148621,Stadtteilschule Mümmelmannsberg,5057,+49 40 428 979-0,Stadtteilschule,Stadtteilschule,HH
"Mümmelmannsberg 54, 22115 Hamburg",+49 40 428 93 62-22,true,HH-5058,53.529506,10.140067,Grundschule Mümmelmannsberg,5058,+49 40 428 93 62-0,Grundschule,Grundschule,HH
"Rahewinkel 9, 22115 Hamburg",+49 40 428 93 06-22,true,HH-5059,53.526622,10.154793,Grundschule Rahewinkel,5059,+49 40 428 93 06-0,Grundschule,Grundschule,HH
"Ladenbeker Weg 13, 21033 Hamburg",+49 40 428 925-200,true,HH-5061,53.492832,10.187098,Stadtteilschule Bergedorf,5061,+49 40 428 925-01,Stadtteilschule,Stadtteilschule,HH
"Grasweg 72, 22303 Hamburg",+49 40 428 891-199,true,HH-5062,53.592979,10.010512,Heinrich-Hertz-Schule,5062,+49 40 428 891-132,Stadtteilschule,Stadtteilschule,HH
"Horner Weg 89, 22111 Hamburg",+49 40 428 87-2146,true,HH-5063,53.555403,10.069951,Stadtteilschule Horn,5063,+49 40 428 87-20,Stadtteilschule,Stadtteilschule,HH
"An der Berner Au 12, 22159 Hamburg",+49 40 428 928-305,true,HH-5064,53.619607,10.120114,Erich Kästner Schule,5064,+49 40 428 928-0,Stadtteilschule,Stadtteilschule,HH
"Foorthkamp 42, 22417 Hamburg",+49 40 428 797-210,true,HH-5065,53.660023,10.012487,Fritz-Schumacher-Schule,5065,+49 40 428 797-0,Stadtteilschule,Stadtteilschule,HH
"Böttcherkamp 181, 22549 Hamburg",+49 40 428 85-6225,true,HH-5066,53.591429,9.855568,Geschwister-Scholl-Stadtteilschule,5066,+49 40 428 85-602,Stadtteilschule,Stadtteilschule,HH
"Halstenbeker Straße 41, 22457 Hamburg",+49 40 428 93 26-12,true,HH-5067,53.625006,9.903745,Julius-Leber-Schule,5067,+49 40 428 93 26-0,Stadtteilschule,Stadtteilschule,HH
"Am Pfeilshof 20, 22393 Hamburg",+49 40 428 86 93-10,true,HH-5069,53.639928,10.103514,Irena-Sendler-Schule,5069,+49 40 428 86 93-0,Stadtteilschule,Stadtteilschule,HH
"Bunatwiete 20, 21073 Hamburg",+49 40 428 871-272,true,HH-5070,53.45631,9.982271,Goethe-Schule-Harburg,5070,+49 40 428 871-0,Stadtteilschule,Stadtteilschule,HH
"Lehmweg 14, 20144 Hamburg",+49 40 428 97-8157,true,HH-5071,53.574695,9.979121,Ida Ehre Schule,5071,+49 40 428 97-80,Stadtteilschule,Stadtteilschule,HH
"Neuenfelder Straße 106, 21109 Hamburg",+49 40 428 852-254,true,HH-5072,53.493162,10.013895,Nelson-Mandela-Schule im Stadtteil Kirchdorf,5072,+49 40 428 852-0,Stadtteilschule,Stadtteilschule,HH
"Edwin-Scharff-Ring 56, 22309 Hamburg",+49 40 428 96 38-22,true,HH-5074,53.615419,10.047782,Grundschule Edwin-Scharff-Ring,5074,+49 40 428 96 38-0,Grundschule,Grundschule,HH
"Gropiusring 43, 22309 Hamburg",+49 40 428 96 39-22,true,HH-5075,53.61435,10.057353,Schule am See,5075,+49 40 428 96 39-50,Stadtteilschule,Stadtteilschule,HH
"Daimlerstraße 40, 22761 Hamburg",+49 40 428 98 21 30,true,HH-5076,53.570314,9.912774,Max-Brauer-Schule,5076,+49 40 428 98 20,Stadtteilschule,Stadtteilschule,HH
"Frahmstraße 15, 22587 Hamburg",+49 40 428 828 245,true,HH-5077,53.563791,9.822318,Stadtteilschule Blankenese,5077,+49 40 428 828 0,Stadtteilschule,Stadtteilschule,HH
"Poppenbüttler Stieg 7, 22399 Hamburg",+49 40 428 829-210,true,HH-5079,53.64515,10.05067,Stadtteilschule Poppenbüttel,5079,+49 40 428 829-211,Stadtteilschule,Stadtteilschule,HH
"Norderschulweg 14, 21129 Hamburg",+49 40 428 85-9210,true,HH-5080,53.532133,9.875982,Stadtteilschule Finkenwerder,5080,+49 40 428 85-901,Stadtteilschule,Stadtteilschule,HH
"Regerstraße 21, 22761 Hamburg",+49 40 428 88-7230,true,HH-5081,53.568163,9.908377,Stadtteilschule Bahrenfeld,5081,+49 40 428 88-720,Stadtteilschule,Stadtteilschule,HH
"Niekampsweg 25, 22523 Hamburg",+49 40 428 79 6-230,true,HH-5083,53.608656,9.896823,Stadtteilschule Eidelstedt,5083,+49 40 428 79 6-0,Stadtteilschule,Stadtteilschule,HH
"Von-Moltke-Bogen 40, 21035 Hamburg",+49 40 428 76 47-10,true,HH-5084,53.486129,10.160935,Gretel-Bergmann-Schule,5084,+49 40 428 76 47-0,Stadtteilschule,Stadtteilschule,HH
"Vörn Barkholt 6, 22359 Hamburg",+49 40 428 96 92-22,true,HH-5085,53.652119,10.166554,Stadtteilschule Walddörfer,5085,+49 40 428 96 92-0,Stadtteilschule,Stadtteilschule,HH
"Kirchwerder Hausdeich 341, 21037 Hamburg",+49 40 723 77 14 4,true,HH-5087,53.419911,10.202118,Stadtteilschule Kirchwerder,5087,+49 40 428 96 74-0,Stadtteilschule,Stadtteilschule,HH
"Meerweinstraße 26, 22303 Hamburg",+49 40 428 98 42-45,true,HH-5088,53.586985,10.026975,Stadtteilschule Winterhude,5088,+49 40 428 98 42-0,Stadtteilschule,Stadtteilschule,HH
"Pergamentweg 1, 22117 Hamburg",+49 40 428 9318-50,true,HH-5089,53.541154,10.12098,Stadtteilschule Öjendorf,5089,+49 40 428 9318-0,Stadtteilschule,Stadtteilschule,HH
"Löwenstraße 58, 20251 Hamburg",+49 40 428 82-2199,true,HH-5090,53.587233,9.973802,Stadtteilschule Eppendorf,5090,+49 40 428 82-20,Stadtteilschule,Stadtteilschule,HH
"Neumoorstück 1, 21147 Hamburg",+49 40 428 893-270,true,HH-5093,53.477901,9.867307,Stadtteilschule Süderelbe,5093,+49 40 428 89 3-02,Stadtteilschule,Stadtteilschule,HH
"Binnenfeldredder 7, 21031 Hamburg",+49 40 428 876-522,true,HH-5094,53.503794,10.207916,Stadtteilschule Lohbrügge,5094,+49 40 428 876-05,Stadtteilschule,Stadtteilschule,HH
"Perlstieg 1, 21107 Hamburg",+49 40 428 825-143,true,HH-5095,53.50428,9.993633,Stadtteilschule Wilhelmsburg,5095,+49 40 428 825-0,Stadtteilschule,Stadtteilschule,HH
"Steinadlerweg 26, 22119 Hamburg",+49 40 428 48 4-153,true,HH-5097,53.551606,10.106824,Brüder-Grimm-Schule,5097,+49 40 428 48 4-0,Stadtteilschule,Stadtteilschule,HH
"Deepenhorn 1, 22145 Hamburg",+49 40 679 69-022,true,HH-5098,53.629096,10.164427,Stadtteilschule Meiendorf,5098,+49 40 428 93 08-0,Stadtteilschule,Stadtteilschule,HH
"Slomanstieg 1, 20539 Hamburg",+49 40 7 80 78 5-22,true,HH-5099,53.526857,10.019837,Schule auf der Veddel,5099,+49 40 428 96 42-0,Stadtteilschule,Stadtteilschule,HH
"Ostfrieslandstraße 91, 21129 Hamburg",+49 40 428 7615-22,true,HH-5100,53.526983,9.884702,Aueschule Finkenwerder,5100,+49 40 428 7615-0,Grundschule,Grundschule,HH
"Am Dalmannkai 18, 20457 Hamburg",+49 40 428 88-4622,true,HH-5101,53.542065,9.994563,Katharinenschule in der Hafencity,5101,+49 40 428 88-460,Grundschule,Grundschule,HH
"Berner Heerweg 99, 22159 Hamburg",+49 40 428 93 83-22,true,HH-5102,53.598866,10.115957,Grundschule Eckerkoppel,5102,+49 40 428 93 83-0,Grundschule,Grundschule,HH
"Friedrichstraße 55, 20359 Hamburg",+49 40 428 967-558,true,HH-5103,53.547707,9.958599,Grundschule St.Pauli,5103,+49 40 428 967-550,Grundschule,Grundschule,HH
"Lohkampstraße 145, 22523 Hamburg",+49 40 571 47-3222,true,HH-5104,53.613058,9.888585,Grundschule Lohkampstraße,5104,+49 40 428 96 41-0,Grundschule,Grundschule,HH
"Greifswalder Straße 40, 20099 Hamburg",+49 40 428 88-2722,true,HH-5105,53.556448,10.010887,Heinrich-Wolgast-Schule,5105,+49 40 428 88-270,Grundschule,Grundschule,HH
"Hohe Landwehr 19, 20535 Hamburg",+49 40 428 8876-77,true,HH-5106,53.557559,10.041138,Schule Hohe Landwehr,5106,+49 40 428 8876-0,Grundschule,Grundschule,HH
"Tangstedter Landstraße 300, 22417 Hamburg",+49 40 428 933-219,true,HH-5111,53.670945,10.028731,Grundschule Am Heidberg,5111,+49 40 428 933-20,Grundschule,Grundschule,HH
"Prassekstraße 5, 21109 Hamburg",+49 40 428 85-2256,true,HH-5117,53.492697,10.009719,Grundschule Kirchdorf,5117,+49 40 428 85-2249,Grundschule,Grundschule,HH
"Archenholzstraße 55, 22117 Hamburg",+49 40 428 93 27-20,true,HH-5118,53.54374,10.119649,Grundschule Archenholzstraße,5118,+49 40 428 93 27-0,Grundschule,Grundschule,HH
"Finkenwerder Landscheideweg 180, 21129 Hamburg",+49 40 428 8837-22,true,HH-5119,53.527914,9.863057,Westerschule Finkenwerder,5119,+49 40 428 8837-0,Grundschule,Grundschule,HH
"Marckmannstraße 60, 20539 Hamburg",+49 40 428 88 82-32,true,HH-5121,53.535523,10.039775,Schule Marckmannstraße,5121,+49 40 428 88 82-0,Sonderschule,Sonderschule,HH
"Robert-Koch-Straße 15, 20249 Hamburg",+49 40 428 88-7422,true,HH-5124,53.588932,9.983726,Grundschule St. Nikolai,5124,+49 40 428 88-740,Grundschule,Grundschule,HH
"Imstedt 18, 22083 Hamburg",+49 40 428 9302-22,true,HH-5127,53.579475,10.02837,Goldbek-Schule,5127,+49 40 428 9302-30,Grundschule,Grundschule,HH
"Beim Pachthof 15, 22111 Hamburg",+49 40 428 98-250,true,HH-5130,53.551564,10.082137,Schule Beim Pachthof,5130,+49 40 428 98-30,Grundschule,Grundschule,HH
"Marckmannstraße 61, 20539 Hamburg",+49 40 24 83 56-22,true,HH-5134,53.535801,10.039874,Fritz-Köhne-Schule,5134,+49 40 24 83 56-0,Grundschule,Grundschule,HH
"Hasenweg 40, 22393 Hamburg",+49 40 8 70 85-3222,true,HH-5136,53.638285,10.118698,Grundschule Hasenweg,5136,+49 40 428 96 44-0,Grundschule,Grundschule,HH
"Arnkielstraße 2, 22769 Hamburg",+49 40 432 163-55,true,HH-5137,53.564073,9.952837,Grundschule Arnkielstraße,5137,+49 40 428 93 57-0,Grundschule,Grundschule,HH
"Osterbrook 17, 20537 Hamburg",+49 40 2 19 09 8-22,true,HH-5139,53.549008,10.056307,Grundschule Osterbrook,5139,+49 40 428 96 45-0,Grundschule,Grundschule,HH
"Schulbergredder 21, 22399 Hamburg",+49 40 428 93 1755,true,HH-5143,53.658997,10.080423,Grundschule Poppenbüttel,5143,+49 40 428 93 1722,Grundschule,Grundschule,HH
"Holmbrook 20, 22605 Hamburg",+49 40 428 48 52 22,true,HH-5145,53.552854,9.899005,Elbschule Bildungszentrum Hören und Kommunikation,5145,+49 40 428 48 50,Sonderschule,Sonderschule,HH
"Grotefendweg 20, 22589 Hamburg",+49 40 428 7633-22,true,HH-5158,53.56673,9.829594,Elbkinder Grundschule,5158,+49 40 428 7633-0,Grundschule,Grundschule,HH
"Sonnenland 27, 22115 Hamburg",+49 40 428 93 63-52,true,HH-5160,53.534304,10.131631,Schule An der Glinder Au,5160,+49 40 428 93 63-0,Grundschule,Grundschule,HH
"Ludwigstraße 7, 20357 Hamburg",+49 40 428 86-8310,true,HH-5167,53.559763,9.966051,Ganztagsgrundschule Sternschanze,5167,+49 40 428 86-830,Grundschule,Grundschule,HH
"Speckenreye 11, 22119 Hamburg",+49 40 428 93 64-22,true,HH-5169,53.554455,10.095461,Schule Speckenreye,5169,+49 40 428 93 64-0,Grundschule,Grundschule,HH
