Schulart,jahr,anzahl,Land
Schularten mit mehreren Bildungsgängen,2009,0,Niedersachsen
Schularten mit mehreren Bildungsgängen,2010,0,Niedersachsen
Schularten mit mehreren Bildungsgängen,2011,133,Niedersachsen
Schularten mit mehreren Bildungsgängen,2012,216,Niedersachsen
Schularten mit mehreren Bildungsgängen,2013,248,Niedersachsen
Schularten mit mehreren Bildungsgängen,2014,276,Niedersachsen
Schularten mit mehreren Bildungsgängen,2015,348,Niedersachsen
Realschulen,1992,416,Niedersachsen
Realschulen,2007,498,Niedersachsen
Realschulen,2008,499,Niedersachsen
Realschulen,2009,500,Niedersachsen
Realschulen,2010,503,Niedersachsen
Realschulen,2011,503,Niedersachsen
Realschulen,2012,498,Niedersachsen
Realschulen,2013,495,Niedersachsen
Realschulen,2014,481,Niedersachsen
Realschulen,2015,459,Niedersachsen
Gymnasien,1992,258,Niedersachsen
Gymnasien,2007,289,Niedersachsen
Gymnasien,2008,292,Niedersachsen
Gymnasien,2009,291,Niedersachsen
Gymnasien,2010,294,Niedersachsen
Gymnasien,2011,295,Niedersachsen
Gymnasien,2012,294,Niedersachsen
Gymnasien,2013,294,Niedersachsen
Gymnasien,2014,294,Niedersachsen
Gymnasien,2015,294,Niedersachsen
Integrierte Gesamtschulen,1992,17,Niedersachsen
Integrierte Gesamtschulen,2007,32,Niedersachsen
Integrierte Gesamtschulen,2008,32,Niedersachsen
Integrierte Gesamtschulen,2009,46,Niedersachsen
Integrierte Gesamtschulen,2010,64,Niedersachsen
Integrierte Gesamtschulen,2011,70,Niedersachsen
Integrierte Gesamtschulen,2012,76,Niedersachsen
Integrierte Gesamtschulen,2013,81,Niedersachsen
Integrierte Gesamtschulen,2014,91,Niedersachsen
Integrierte Gesamtschulen,2015,98,Niedersachsen
Freie Waldorfschulen,1992,13,Niedersachsen
Freie Waldorfschulen,2007,20,Niedersachsen
Freie Waldorfschulen,2008,20,Niedersachsen
Freie Waldorfschulen,2009,20,Niedersachsen
Freie Waldorfschulen,2010,20,Niedersachsen
Freie Waldorfschulen,2011,20,Niedersachsen
Freie Waldorfschulen,2012,20,Niedersachsen
Freie Waldorfschulen,2013,20,Niedersachsen
Freie Waldorfschulen,2014,20,Niedersachsen
Freie Waldorfschulen,2015,20,Niedersachsen
Förderschulen,1992,297,Niedersachsen
Förderschulen,2007,338,Niedersachsen
Förderschulen,2008,338,Niedersachsen
Förderschulen,2009,338,Niedersachsen
Förderschulen,2010,340,Niedersachsen
Förderschulen,2011,336,Niedersachsen
Förderschulen,2012,334,Niedersachsen
Förderschulen,2013,323,Niedersachsen
Förderschulen,2014,311,Niedersachsen
Förderschulen,2015,299,Niedersachsen
Abendgymnasien,1992,5,Niedersachsen
Abendgymnasien,2007,5,Niedersachsen
Abendgymnasien,2008,5,Niedersachsen
Abendgymnasien,2009,5,Niedersachsen
Abendgymnasien,2010,5,Niedersachsen
Abendgymnasien,2011,5,Niedersachsen
Abendgymnasien,2012,5,Niedersachsen
Abendgymnasien,2013,5,Niedersachsen
Abendgymnasien,2014,5,Niedersachsen
Abendgymnasien,2015,5,Niedersachsen
Kollegs,1992,4,Niedersachsen
Kollegs,2007,4,Niedersachsen
Kollegs,2008,4,Niedersachsen
Kollegs,2009,4,Niedersachsen
Kollegs,2010,4,Niedersachsen
Kollegs,2011,4,Niedersachsen
Kollegs,2012,4,Niedersachsen
Kollegs,2013,4,Niedersachsen
Kollegs,2014,4,Niedersachsen
Kollegs,2015,4,Niedersachsen
Schulkindergärten,1992,846,Nordrhein-Westfalen
Schulkindergärten,2007,27,Nordrhein-Westfalen
Schulkindergärten,2008,27,Nordrhein-Westfalen
Schulkindergärten,2009,27,Nordrhein-Westfalen
Schulkindergärten,2010,27,Nordrhein-Westfalen
Schulkindergärten,2011,27,Nordrhein-Westfalen
Schulkindergärten,2012,27,Nordrhein-Westfalen
Schulkindergärten,2013,27,Nordrhein-Westfalen
Schulkindergärten,2014,25,Nordrhein-Westfalen
Schulkindergärten,2015,25,Nordrhein-Westfalen
Grundschulen,1992,3398,Nordrhein-Westfalen
Grundschulen,2007,3370,Nordrhein-Westfalen
Grundschulen,2008,3268,Nordrhein-Westfalen
Grundschulen,2009,3224,Nordrhein-Westfalen
Grundschulen,2010,3174,Nordrhein-Westfalen
Grundschulen,2011,3087,Nordrhein-Westfalen
Grundschulen,2012,3029,Nordrhein-Westfalen
Grundschulen,2013,2945,Nordrhein-Westfalen
Grundschulen,2014,2883,Nordrhein-Westfalen
Grundschulen,2015,2846,Nordrhein-Westfalen
Hauptschulen,1992,875,Nordrhein-Westfalen
Hauptschulen,2007,720,Nordrhein-Westfalen
Hauptschulen,2008,705,Nordrhein-Westfalen
Hauptschulen,2009,672,Nordrhein-Westfalen
Hauptschulen,2010,641,Nordrhein-Westfalen
Hauptschulen,2011,609,Nordrhein-Westfalen
Hauptschulen,2012,576,Nordrhein-Westfalen
Hauptschulen,2013,536,Nordrhein-Westfalen
Hauptschulen,2014,494,Nordrhein-Westfalen
Hauptschulen,2015,457,Nordrhein-Westfalen
Schularten mit mehreren Bildungsgängen,1992,0,Nordrhein-Westfalen
Schularten mit mehreren Bildungsgängen,2007,0,Nordrhein-Westfalen
Schularten mit mehreren Bildungsgängen,2008,0,Nordrhein-Westfalen
Schularten mit mehreren Bildungsgängen,2009,0,Nordrhein-Westfalen
Schularten mit mehreren Bildungsgängen,2010,0,Nordrhein-Westfalen
Schularten mit mehreren Bildungsgängen,2011,12,Nordrhein-Westfalen
Schularten mit mehreren Bildungsgängen,2012,54,Nordrhein-Westfalen
Schularten mit mehreren Bildungsgängen,2013,96,Nordrhein-Westfalen
Schularten mit mehreren Bildungsgängen,2014,119,Nordrhein-Westfalen
Schularten mit mehreren Bildungsgängen,2015,124,Nordrhein-Westfalen
Realschulen,1992,517,Nordrhein-Westfalen
Realschulen,2007,557,Nordrhein-Westfalen
Realschulen,2008,557,Nordrhein-Westfalen
Realschulen,2009,559,Nordrhein-Westfalen
Realschulen,2010,563,Nordrhein-Westfalen
Realschulen,2011,564,Nordrhein-Westfalen
Realschulen,2012,564,Nordrhein-Westfalen
Realschulen,2013,566,Nordrhein-Westfalen
Realschulen,2014,563,Nordrhein-Westfalen
Realschulen,2015,559,Nordrhein-Westfalen
Gymnasien,1992,623,Nordrhein-Westfalen
Gymnasien,2007,630,Nordrhein-Westfalen
Gymnasien,2008,629,Nordrhein-Westfalen
Gymnasien,2009,630,Nordrhein-Westfalen
Gymnasien,2010,626,Nordrhein-Westfalen
Gymnasien,2011,627,Nordrhein-Westfalen
Gymnasien,2012,627,Nordrhein-Westfalen
Gymnasien,2013,627,Nordrhein-Westfalen
Gymnasien,2014,625,Nordrhein-Westfalen
Gymnasien,2015,625,Nordrhein-Westfalen
Integrierte Gesamtschulen,1992,182,Nordrhein-Westfalen
Integrierte Gesamtschulen,2007,218,Nordrhein-Westfalen
Integrierte Gesamtschulen,2008,218,Nordrhein-Westfalen
Integrierte Gesamtschulen,2009,221,Nordrhein-Westfalen
Integrierte Gesamtschulen,2010,225,Nordrhein-Westfalen
Integrierte Gesamtschulen,2011,232,Nordrhein-Westfalen
Integrierte Gesamtschulen,2012,252,Nordrhein-Westfalen
Integrierte Gesamtschulen,2013,282,Nordrhein-Westfalen
Integrierte Gesamtschulen,2014,311,Nordrhein-Westfalen
Integrierte Gesamtschulen,2015,319,Nordrhein-Westfalen
Freie Waldorfschulen,1992,40,Nordrhein-Westfalen
Freie Waldorfschulen,2007,40,Nordrhein-Westfalen
Freie Waldorfschulen,2008,40,Nordrhein-Westfalen
Freie Waldorfschulen,2009,40,Nordrhein-Westfalen
Freie Waldorfschulen,2010,40,Nordrhein-Westfalen
Freie Waldorfschulen,2011,40,Nordrhein-Westfalen
Freie Waldorfschulen,2012,40,Nordrhein-Westfalen
Freie Waldorfschulen,2013,40,Nordrhein-Westfalen
Freie Waldorfschulen,2014,40,Nordrhein-Westfalen
Freie Waldorfschulen,2015,42,Nordrhein-Westfalen
Förderschulen,1992,731,Nordrhein-Westfalen
Förderschulen,2007,726,Nordrhein-Westfalen
Förderschulen,2008,724,Nordrhein-Westfalen
Förderschulen,2009,724,Nordrhein-Westfalen
Förderschulen,2010,722,Nordrhein-Westfalen
Förderschulen,2011,716,Nordrhein-Westfalen
Förderschulen,2012,716,Nordrhein-Westfalen
Förderschulen,2013,693,Nordrhein-Westfalen
Förderschulen,2014,652,Nordrhein-Westfalen
Förderschulen,2015,580,Nordrhein-Westfalen
Abendrealschulen,1992,25,Nordrhein-Westfalen
Abendrealschulen,2007,30,Nordrhein-Westfalen
Abendrealschulen,2008,31,Nordrhein-Westfalen
Abendrealschulen,2009,31,Nordrhein-Westfalen
Abendrealschulen,2010,31,Nordrhein-Westfalen
Abendrealschulen,2011,31,Nordrhein-Westfalen
Abendrealschulen,2012,31,Nordrhein-Westfalen
Abendrealschulen,2013,31,Nordrhein-Westfalen
Abendrealschulen,2014,31,Nordrhein-Westfalen
Abendrealschulen,2015,31,Nordrhein-Westfalen
Abendgymnasien,1992,19,Nordrhein-Westfalen
Abendgymnasien,2007,28,Nordrhein-Westfalen
Abendgymnasien,2008,29,Nordrhein-Westfalen
Abendgymnasien,2009,29,Nordrhein-Westfalen
Abendgymnasien,2010,28,Nordrhein-Westfalen
Abendgymnasien,2011,28,Nordrhein-Westfalen
Abendgymnasien,2012,29,Nordrhein-Westfalen
Abendgymnasien,2013,29,Nordrhein-Westfalen
Abendgymnasien,2014,29,Nordrhein-Westfalen
Abendgymnasien,2015,29,Nordrhein-Westfalen
Kollegs,1992,16,Nordrhein-Westfalen
Kollegs,2007,24,Nordrhein-Westfalen
Kollegs,2008,25,Nordrhein-Westfalen
Kollegs,2009,25,Nordrhein-Westfalen
Kollegs,2010,26,Nordrhein-Westfalen
Kollegs,2011,26,Nordrhein-Westfalen
Kollegs,2012,26,Nordrhein-Westfalen
Kollegs,2013,26,Nordrhein-Westfalen
Kollegs,2014,26,Nordrhein-Westfalen
Kollegs,2015,26,Nordrhein-Westfalen
Schulkindergärten,1992,117,Rheinland-Pfalz
Schulkindergärten,2007,88,Rheinland-Pfalz
Schulkindergärten,2008,77,Rheinland-Pfalz
Schulkindergärten,2009,59,Rheinland-Pfalz
Schulkindergärten,2010,50,Rheinland-Pfalz
Schulkindergärten,2011,42,Rheinland-Pfalz
Schulkindergärten,2012,32,Rheinland-Pfalz
Schulkindergärten,2013,26,Rheinland-Pfalz
Schulkindergärten,2014,20,Rheinland-Pfalz
Schulkindergärten,2015,16,Rheinland-Pfalz
Grundschulen,1992,972,Rheinland-Pfalz
Grundschulen,2007,989,Rheinland-Pfalz
Grundschulen,2008,988,Rheinland-Pfalz
Grundschulen,2009,983,Rheinland-Pfalz
Grundschulen,2010,976,Rheinland-Pfalz
Grundschulen,2011,974,Rheinland-Pfalz
Grundschulen,2012,969,Rheinland-Pfalz
Grundschulen,2013,970,Rheinland-Pfalz
Grundschulen,2014,969,Rheinland-Pfalz
Grundschulen,2015,965,Rheinland-Pfalz
Hauptschulen,1992,307,Rheinland-Pfalz
Hauptschulen,2007,176,Rheinland-Pfalz
Hauptschulen,2008,171,Rheinland-Pfalz
Hauptschulen,2009,125,Rheinland-Pfalz
Hauptschulen,2010,61,Rheinland-Pfalz
Hauptschulen,2011,45,Rheinland-Pfalz
Hauptschulen,2012,26,Rheinland-Pfalz
Hauptschulen,2013,5,Rheinland-Pfalz
Hauptschulen,2014,4,Rheinland-Pfalz
Hauptschulen,2015,4,Rheinland-Pfalz
Schularten mit mehreren Bildungsgängen,1992,6,Rheinland-Pfalz
Schularten mit mehreren Bildungsgängen,2007,97,Rheinland-Pfalz
Schularten mit mehreren Bildungsgängen,2008,99,Rheinland-Pfalz
Schularten mit mehreren Bildungsgängen,2009,129,Rheinland-Pfalz
Schularten mit mehreren Bildungsgängen,2010,179,Rheinland-Pfalz
Schularten mit mehreren Bildungsgängen,2011,194,Rheinland-Pfalz
Schularten mit mehreren Bildungsgängen,2012,201,Rheinland-Pfalz
Schularten mit mehreren Bildungsgängen,2013,201,Rheinland-Pfalz
Schularten mit mehreren Bildungsgängen,2014,198,Rheinland-Pfalz
Schularten mit mehreren Bildungsgängen,2015,192,Rheinland-Pfalz
Realschulen,1992,109,Rheinland-Pfalz
Realschulen,2007,117,Rheinland-Pfalz
Realschulen,2008,117,Rheinland-Pfalz
Realschulen,2009,83,Rheinland-Pfalz
Realschulen,2010,33,Rheinland-Pfalz
Realschulen,2011,24,Rheinland-Pfalz
Realschulen,2012,18,Rheinland-Pfalz
Realschulen,2013,11,Rheinland-Pfalz
Realschulen,2014,10,Rheinland-Pfalz
Realschulen,2015,9,Rheinland-Pfalz
Gymnasien,1992,136,Rheinland-Pfalz
Gymnasien,2007,141,Rheinland-Pfalz
Gymnasien,2008,143,Rheinland-Pfalz
Gymnasien,2009,146,Rheinland-Pfalz
Gymnasien,2010,146,Rheinland-Pfalz
Gymnasien,2011,147,Rheinland-Pfalz
Gymnasien,2012,149,Rheinland-Pfalz
Gymnasien,2013,149,Rheinland-Pfalz
Gymnasien,2014,150,Rheinland-Pfalz
Gymnasien,2015,151,Rheinland-Pfalz
Integrierte Gesamtschulen,1992,5,Rheinland-Pfalz
Integrierte Gesamtschulen,2007,19,Rheinland-Pfalz
Integrierte Gesamtschulen,2008,25,Rheinland-Pfalz
Integrierte Gesamtschulen,2009,35,Rheinland-Pfalz
Integrierte Gesamtschulen,2010,52,Rheinland-Pfalz
Integrierte Gesamtschulen,2011,54,Rheinland-Pfalz
Integrierte Gesamtschulen,2012,54,Rheinland-Pfalz
Integrierte Gesamtschulen,2013,55,Rheinland-Pfalz
Integrierte Gesamtschulen,2014,55,Rheinland-Pfalz
Integrierte Gesamtschulen,2015,55,Rheinland-Pfalz
Freie Waldorfschulen,1992,5,Rheinland-Pfalz
Freie Waldorfschulen,2007,8,Rheinland-Pfalz
Freie Waldorfschulen,2008,8,Rheinland-Pfalz
Freie Waldorfschulen,2009,8,Rheinland-Pfalz
Freie Waldorfschulen,2010,9,Rheinland-Pfalz
Freie Waldorfschulen,2011,9,Rheinland-Pfalz
Freie Waldorfschulen,2012,9,Rheinland-Pfalz
Freie Waldorfschulen,2013,9,Rheinland-Pfalz
Freie Waldorfschulen,2014,8,Rheinland-Pfalz
Freie Waldorfschulen,2015,8,Rheinland-Pfalz
Förderschulen,1992,148,Rheinland-Pfalz
Förderschulen,2007,141,Rheinland-Pfalz
Förderschulen,2008,141,Rheinland-Pfalz
Förderschulen,2009,139,Rheinland-Pfalz
Förderschulen,2010,138,Rheinland-Pfalz
Förderschulen,2011,138,Rheinland-Pfalz
Förderschulen,2012,138,Rheinland-Pfalz
Förderschulen,2013,138,Rheinland-Pfalz
Förderschulen,2014,135,Rheinland-Pfalz
Förderschulen,2015,132,Rheinland-Pfalz
Abendgymnasien2,1992,0,Rheinland-Pfalz
Abendgymnasien2,2007,0,Rheinland-Pfalz
Abendgymnasien2,2008,0,Rheinland-Pfalz
Abendgymnasien2,2009,0,Rheinland-Pfalz
Abendgymnasien2,2010,0,Rheinland-Pfalz
Abendgymnasien2,2011,0,Rheinland-Pfalz
Abendgymnasien2,2012,0,Rheinland-Pfalz
Abendgymnasien2,2013,0,Rheinland-Pfalz
Abendgymnasien2,2014,0,Rheinland-Pfalz
Abendgymnasien2,2015,0,Rheinland-Pfalz
Kollegs,1992,3,Rheinland-Pfalz
Kollegs,2007,3,Rheinland-Pfalz
Kollegs,2008,3,Rheinland-Pfalz
Kollegs,2009,3,Rheinland-Pfalz
Kollegs,2010,4,Rheinland-Pfalz
Kollegs,2011,4,Rheinland-Pfalz
Kollegs,2012,4,Rheinland-Pfalz
Kollegs,2013,4,Rheinland-Pfalz
Kollegs,2014,4,Rheinland-Pfalz
Kollegs,2015,4,Rheinland-Pfalz
Schulkindergärten,1992,43,Saarland
Schulkindergärten,2007,29,Saarland
Schulkindergärten,2008,27,Saarland
Schulkindergärten,2009,35,Saarland
Schulkindergärten,2010,30,Saarland
Schulkindergärten,2011,20,Saarland
Schulkindergärten,2012,12,Saarland
Schulkindergärten,2013,11,Saarland
Schulkindergärten,2014,4,Saarland
Schulkindergärten,2015,4,Saarland
Grundschulen,1992,273,Saarland
Grundschulen,2007,159,Saarland
Grundschulen,2008,160,Saarland
Grundschulen,2009,160,Saarland
Grundschulen,2010,161,Saarland
Grundschulen,2011,161,Saarland
Grundschulen,2012,162,Saarland
Grundschulen,2013,162,Saarland
Grundschulen,2014,162,Saarland
Grundschulen,2015,162,Saarland
Hauptschulen 3,1992,70,Saarland
Hauptschulen 3,2007,1,Saarland
Hauptschulen 3,2008,1,Saarland
Hauptschulen 3,2009,1,Saarland
Hauptschulen 3,2010,1,Saarland
Hauptschulen 3,2011,1,Saarland
Hauptschulen 3,2012,1,Saarland
Hauptschulen 3,2013,1,Saarland
Hauptschulen 3,2014,1,Saarland
Hauptschulen 3,2015,0,Saarland
Schularten mit mehreren Bildungsgängen,1992,17,Saarland
Schularten mit mehreren Bildungsgängen,2007,51,Saarland
Schularten mit mehreren Bildungsgängen,2008,51,Saarland
Schularten mit mehreren Bildungsgängen,2009,51,Saarland
Schularten mit mehreren Bildungsgängen,2010,51,Saarland
Schularten mit mehreren Bildungsgängen,2011,51,Saarland
Schularten mit mehreren Bildungsgängen,2012,112,Saarland
Schularten mit mehreren Bildungsgängen,2013,49,Saarland
Schularten mit mehreren Bildungsgängen,2014,49,Saarland
Schularten mit mehreren Bildungsgängen,2015,44,Saarland
Realschulen,1992,30,Saarland
Realschulen,2007,3,Saarland
Realschulen,2008,3,Saarland
Realschulen,2009,3,Saarland
Realschulen,2010,3,Saarland
Realschulen,2011,3,Saarland
Realschulen,2012,3,Saarland
Realschulen,2013,3,Saarland
Realschulen,2014,3,Saarland
Realschulen,2015,3,Saarland
Gymnasien,1992,37,Saarland
Gymnasien,2007,35,Saarland
Gymnasien,2008,35,Saarland
Gymnasien,2009,35,Saarland
Gymnasien,2010,35,Saarland
Gymnasien,2011,35,Saarland
Gymnasien,2012,35,Saarland
Gymnasien,2013,35,Saarland
Gymnasien,2014,35,Saarland
Gymnasien,2015,35,Saarland
Integrierte Gesamtschulen,1992,14,Saarland
Integrierte Gesamtschulen,2007,17,Saarland
Integrierte Gesamtschulen,2008,18,Saarland
Integrierte Gesamtschulen,2009,18,Saarland
Integrierte Gesamtschulen,2010,18,Saarland
Integrierte Gesamtschulen,2011,18,Saarland
Integrierte Gesamtschulen,2012,18,Saarland
Integrierte Gesamtschulen,2013,81,Saarland
Integrierte Gesamtschulen,2014,81,Saarland
Integrierte Gesamtschulen,2015,79,Saarland
Freie Waldorfschulen,1992,2,Saarland
Freie Waldorfschulen,2007,4,Saarland
Freie Waldorfschulen,2008,4,Saarland
Freie Waldorfschulen,2009,4,Saarland
Freie Waldorfschulen,2010,4,Saarland
Freie Waldorfschulen,2011,4,Saarland
Freie Waldorfschulen,2012,4,Saarland
Freie Waldorfschulen,2013,4,Saarland
Freie Waldorfschulen,2014,4,Saarland
Freie Waldorfschulen,2015,4,Saarland
Förderschulen,1992,43,Saarland
Förderschulen,2007,41,Saarland
Förderschulen,2008,41,Saarland
Förderschulen,2009,41,Saarland
Förderschulen,2010,41,Saarland
Förderschulen,2011,38,Saarland
Förderschulen,2012,38,Saarland
Förderschulen,2013,38,Saarland
Förderschulen,2014,38,Saarland
Förderschulen,2015,38,Saarland
Abendrealschulen,1992,3,Saarland
Abendrealschulen,2007,2,Saarland
Abendrealschulen,2008,2,Saarland
Abendrealschulen,2009,2,Saarland
Abendrealschulen,2010,2,Saarland
Abendrealschulen,2011,2,Saarland
Abendrealschulen,2012,2,Saarland
Abendrealschulen,2013,2,Saarland
Abendrealschulen,2014,2,Saarland
Abendrealschulen,2015,2,Saarland
Abendgymnasien,1992,2,Saarland
Abendgymnasien,2007,1,Saarland
Abendgymnasien,2008,1,Saarland
Abendgymnasien,2009,1,Saarland
Abendgymnasien,2010,1,Saarland
Abendgymnasien,2011,1,Saarland
Abendgymnasien,2012,1,Saarland
Abendgymnasien,2013,1,Saarland
Abendgymnasien,2014,1,Saarland
Abendgymnasien,2015,1,Saarland
Kollegs,1992,1,Saarland
Kollegs,2007,1,Saarland
Kollegs,2008,1,Saarland
Kollegs,2009,1,Saarland
Kollegs,2010,1,Saarland
Kollegs,2011,1,Saarland
Kollegs,2012,1,Saarland
Kollegs,2013,1,Saarland
Kollegs,2014,1,Saarland
Kollegs,2015,1,Saarland
Vorklassen 4,1992,38,Sachsen
Vorklassen 4,2007,0,Sachsen
Vorklassen 4,2008,0,Sachsen
Vorklassen 4,2009,0,Sachsen
Vorklassen 4,2010,0,Sachsen
Vorklassen 4,2011,0,Sachsen
Vorklassen 4,2012,0,Sachsen
Vorklassen 4,2013,0,Sachsen
Vorklassen 4,2014,0,Sachsen
Vorklassen 4,2015,0,Sachsen
Schulkindergärten,1992,0,Sachsen
Schulkindergärten,2007,0,Sachsen
Schulkindergärten,2008,0,Sachsen
Schulkindergärten,2009,0,Sachsen
Schulkindergärten,2010,0,Sachsen
Schulkindergärten,2011,0,Sachsen
Schulkindergärten,2012,0,Sachsen
Schulkindergärten,2013,0,Sachsen
Schulkindergärten,2014,0,Sachsen
Schulkindergärten,2015,0,Sachsen
Grundschulen,1992,1246,Sachsen
Grundschulen,2007,847,Sachsen
Grundschulen,2008,842,Sachsen
Grundschulen,2009,839,Sachsen
Grundschulen,2010,838,Sachsen
Grundschulen,2011,831,Sachsen
Grundschulen,2012,831,Sachsen
Grundschulen,2013,824,Sachsen
Grundschulen,2014,825,Sachsen
Grundschulen,2015,826,Sachsen
Schularten mit mehreren Bildungsgängen,1992,662,Sachsen
Schularten mit mehreren Bildungsgängen,2007,348,Sachsen
Schularten mit mehreren Bildungsgängen,2008,333,Sachsen
Schularten mit mehreren Bildungsgängen,2009,333,Sachsen
Schularten mit mehreren Bildungsgängen,2010,339,Sachsen
Schularten mit mehreren Bildungsgängen,2011,335,Sachsen
Schularten mit mehreren Bildungsgängen,2012,336,Sachsen
Schularten mit mehreren Bildungsgängen,2013,336,Sachsen
Schularten mit mehreren Bildungsgängen,2014,336,Sachsen
Schularten mit mehreren Bildungsgängen,2015,340,Sachsen
Gymnasien,1992,185,Sachsen
Gymnasien,2007,140,Sachsen
Gymnasien,2008,143,Sachsen
Gymnasien,2009,145,Sachsen
Gymnasien,2010,148,Sachsen
Gymnasien,2011,152,Sachsen
Gymnasien,2012,153,Sachsen
Gymnasien,2013,153,Sachsen
Gymnasien,2014,155,Sachsen
Gymnasien,2015,155,Sachsen
Freie Waldorfschulen,1992,3,Sachsen
Freie Waldorfschulen,2007,3,Sachsen
Freie Waldorfschulen,2008,3,Sachsen
Freie Waldorfschulen,2009,3,Sachsen
Freie Waldorfschulen,2010,3,Sachsen
Freie Waldorfschulen,2011,5,Sachsen
Freie Waldorfschulen,2012,5,Sachsen
Freie Waldorfschulen,2013,5,Sachsen
Freie Waldorfschulen,2014,6,Sachsen
Freie Waldorfschulen,2015,6,Sachsen
Förderschulen,1992,203,Sachsen
Förderschulen,2007,160,Sachsen
Förderschulen,2008,159,Sachsen
Förderschulen,2009,158,Sachsen
Förderschulen,2010,159,Sachsen
Förderschulen,2011,158,Sachsen
Förderschulen,2012,158,Sachsen
Förderschulen,2013,156,Sachsen
Förderschulen,2014,155,Sachsen
Förderschulen,2015,156,Sachsen
Abendhauptschulen,1992,16,Sachsen
Abendhauptschulen,2007,0,Sachsen
Abendhauptschulen,2008,0,Sachsen
Abendhauptschulen,2009,0,Sachsen
Abendhauptschulen,2010,0,Sachsen
Abendhauptschulen,2011,0,Sachsen
Abendhauptschulen,2012,0,Sachsen
Abendhauptschulen,2013,0,Sachsen
Abendhauptschulen,2014,0,Sachsen
Abendhauptschulen,2015,0,Sachsen
Abendrealschulen,1992,2,Sachsen
Abendrealschulen,2007,3,Sachsen
Abendrealschulen,2008,3,Sachsen
Abendrealschulen,2009,3,Sachsen
Abendrealschulen,2010,3,Sachsen
Abendrealschulen,2011,3,Sachsen
Abendrealschulen,2012,3,Sachsen
Abendrealschulen,2013,4,Sachsen
Abendrealschulen,2014,4,Sachsen
Abendrealschulen,2015,4,Sachsen
Abendgymnasien,1992,6,Sachsen
Abendgymnasien,2007,3,Sachsen
Abendgymnasien,2008,3,Sachsen
Abendgymnasien,2009,3,Sachsen
Abendgymnasien,2010,3,Sachsen
Abendgymnasien,2011,3,Sachsen
Abendgymnasien,2012,3,Sachsen
Abendgymnasien,2013,3,Sachsen
